Point Y,Point X,InstallDate
32.21709048,-110.9772145,6/23/2016
32.21700879,-110.9770469,6/23/2016
32.216903,-110.9766557,6/23/2016
32.21694839,-110.9768505,6/23/2016
32.217303,-110.9774917,6/23/2016
32.216852,-110.9755837,7/1/2016
32.21687288,-110.9764639,7/1/2016
32.21686182,-110.9763207,7/1/2016
32.21684522,-110.9760806,7/1/2016
32.21685139,-110.9758539,7/1/2016
32.25081054,-111.01239,7/6/2016
32.250549,-111.0120717,7/6/2016
32.250539,-111.0114757,7/6/2016
32.250524,-111.0109457,7/6/2016
32.25052791,-111.0104478,7/6/2016
32.250509,-111.0099447,7/6/2016
32.250502,-111.0094007,7/6/2016
32.250498,-111.0088477,7/6/2016
32.250489,-111.0083767,7/6/2016
32.250471,-111.0077937,7/6/2016
32.25046639,-111.0070337,7/6/2016
32.250446,-111.0051497,7/6/2016
32.250444,-111.0045107,7/6/2016
32.250436,-111.0037667,7/6/2016
32.25044876,-111.0030494,7/6/2016
32.25044306,-111.0023572,7/6/2016
32.25044372,-111.0016297,7/6/2016
32.25043121,-111.0009737,7/6/2016
32.250456,-111.0057287,7/6/2016
32.250392,-111.0003317,7/6/2016
32.25040295,-110.9996288,7/6/2016
32.250382,-110.9989877,7/6/2016
32.25037859,-110.9982677,7/6/2016
32.25037448,-110.9977296,7/6/2016
32.25036651,-110.9968163,7/6/2016
32.25085469,-111.0112256,7/6/2016
32.25084666,-111.0107007,7/6/2016
32.250853,-111.0101947,7/6/2016
32.250842,-111.0096577,7/6/2016
32.250834,-111.0091037,7/6/2016
32.250819,-111.0085757,7/6/2016
32.250732,-111.0080607,7/6/2016
32.250721,-111.0075027,7/6/2016
32.250734,-111.0068157,7/6/2016
32.25074452,-111.0061099,7/6/2016
32.250702,-111.0047917,7/6/2016
32.2507,-111.0041097,7/6/2016
32.25071225,-111.0034233,7/6/2016
32.250701,-111.0026647,7/6/2016
32.250685,-111.0019697,7/6/2016
32.250669,-111.0012877,7/6/2016
32.25056295,-111.0126481,7/6/2016
32.250466,-111.0064887,7/6/2016
32.25086997,-111.0117495,7/6/2016
32.234401,-111.0036317,7/7/2016
32.24849,-111.0121027,7/7/2016
32.248088,-111.0122527,7/7/2016
32.23577243,-111.0035513,7/7/2016
32.236051,-111.0042367,7/7/2016
32.25012387,-111.0134178,7/7/2016
32.249635,-111.0131527,7/7/2016
32.24916509,-111.0128768,7/7/2016
32.248598,-111.0125617,7/7/2016
32.247567,-111.0119027,7/7/2016
32.2503722,-110.997025,7/7/2016
32.2503517,-110.9965495,7/7/2016
32.25035167,-110.9961615,7/7/2016
32.236475,-111.0044727,7/7/2016
32.236652,-111.0049547,7/7/2016
32.23695171,-111.0046625,7/7/2016
32.237118,-111.0051407,7/7/2016
32.23748859,-111.0048388,7/7/2016
32.23764,-111.0053697,7/7/2016
32.238003,-111.0051487,7/7/2016
32.238113,-111.0056547,7/7/2016
32.23859289,-111.0055197,7/7/2016
32.238605,-111.0059497,7/7/2016
32.239001,-111.0057647,7/7/2016
32.239088,-111.0062637,7/7/2016
32.23951996,-111.0060837,7/7/2016
32.23996764,-111.0063717,7/7/2016
32.240066,-111.0068507,7/7/2016
32.240556,-111.0071417,7/7/2016
32.24142919,-111.0072748,7/7/2016
32.241509,-111.0077417,7/7/2016
32.241888,-111.0075597,7/7/2016
32.241995,-111.0080427,7/7/2016
32.24234709,-111.0078575,7/7/2016
32.242484,-111.0083417,7/7/2016
32.24285,-111.0081797,7/7/2016
32.242956,-111.0086397,7/7/2016
32.24333377,-111.0084882,7/7/2016
32.243423,-111.0089547,7/7/2016
32.243805,-111.0087907,7/7/2016
32.243896,-111.0092587,7/7/2016
32.244272,-111.0090967,7/7/2016
32.244402,-111.0095767,7/7/2016
32.24486,-111.0098457,7/7/2016
32.24523359,-111.0096885,7/7/2016
32.24532372,-111.0101482,7/7/2016
32.24571391,-111.0099941,7/7/2016
32.24199532,-111.0080476,7/7/2016
32.246173,-111.0103407,7/7/2016
32.24623,-111.0108167,7/7/2016
32.24662025,-111.0107099,7/7/2016
32.246683,-111.0111847,7/7/2016
32.24707909,-111.0110774,7/7/2016
32.247114,-111.0115387,7/7/2016
32.247527,-111.0114407,7/7/2016
32.25036879,-110.9973025,7/7/2016
32.250264,-110.9942897,7/7/2016
32.25069867,-111.0007234,7/7/2016
32.25065614,-110.9999664,7/7/2016
32.250644,-110.9992797,7/7/2016
32.250624,-110.9986407,7/7/2016
32.250616,-110.9979677,7/7/2016
32.25058165,-110.997296,7/7/2016
32.25058734,-110.9970259,7/7/2016
32.25057994,-110.9968077,7/7/2016
32.250509,-110.9947417,7/7/2016
32.2505657,-110.9965463,7/7/2016
32.25054683,-110.9961483,7/7/2016
32.23558,-110.9946107,7/8/2016
32.23549,-110.9892897,7/8/2016
32.235484,-110.9884877,7/8/2016
32.235478,-110.9877017,7/8/2016
32.235468,-110.9870027,7/8/2016
32.235538,-110.9847037,7/8/2016
32.235578,-110.9953957,7/8/2016
32.235575,-110.9961617,7/8/2016
32.23558858,-110.9969219,7/8/2016
32.235549,-110.9976807,7/8/2016
32.235533,-110.9984757,7/8/2016
32.235522,-110.9992527,7/8/2016
32.235508,-111.0000067,7/8/2016
32.235498,-111.0007887,7/8/2016
32.235503,-111.0015827,7/8/2016
32.235475,-111.0022817,7/8/2016
32.235471,-111.0029957,7/8/2016
32.235762,-111.0011757,7/8/2016
32.235743,-111.0019307,7/8/2016
32.235737,-111.0026357,7/8/2016
32.235845,-110.9950077,7/8/2016
32.23577828,-110.9957532,7/8/2016
32.235833,-110.9965367,7/8/2016
32.23586092,-110.9973283,7/8/2016
